//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;minecraft:potion;16;Malsaine Potion
alchemistamulet;millenaire:item.ml_dwarves_amulet;0;item.ml_dwarves_amulet.name
alchimistexplosive;millenaire:tile.ml_stone_deco;3;tile.ml_stone_deco.3.name
anyenchanted;null;0;
arrow;minecraft:arrow;0;Flèche
beefcooked;minecraft:cooked_beef;0;Steak
beefraw;minecraft:beef;0;Boeuf cru
bone;minecraft:bone;0;Os
book;minecraft:book;0;Livre
bookandquill;minecraft:writable_book;0;Livre et plume
bookshelves;minecraft:bookshelf;0;Bibliothèque
bottle;minecraft:glass_bottle;0;Fiole
boudin;millenaire:item.ml_boudin;0;item.ml_boudin.name
bow;minecraft:bow;0;Arc
bowlempty;minecraft:bowl;0;Bol
bowlsoup;minecraft:mushroom_stew;0;Soupe de champignons
bread;minecraft:bread;0;Pain
brickmould;millenaire:item.ml_brickmould;0;item.ml_brickmould.name
bricks;minecraft:brick_block;0;Briques
bucketempty;minecraft:bucket;0;Seau
bucketlava;minecraft:lava_bucket;0;Seau de lave
bucketmilk;minecraft:milk_bucket;0;Seau de lait
bucketwater;minecraft:water_bucket;0;Seau d'eau
byzantineboots;millenaire:item.ml_byzantineBoots;0;item.ml_byzantineBoots.name
byzantinehelmet;millenaire:item.ml_byzantineHelmet;0;item.ml_byzantineHelmet.name
byzantineiconlarge;millenaire:item.ml_byzantineiconlarge;0;item.ml_byzantineiconlarge.name
byzantineiconmedium;millenaire:item.ml_byzantineiconmedium;0;item.ml_byzantineiconmedium.name
byzantineiconsmall;millenaire:item.ml_byzantineicon;0;item.ml_byzantineicon.name
byzantinelegs;millenaire:item.ml_byzantineLegs;0;item.ml_byzantineLegs.name
byzantinemace;millenaire:item.ml_byzantineMace;0;item.ml_byzantineMace.name
byzantineplate;millenaire:item.ml_byzantinePlate;0;item.ml_byzantinePlate.name
byzantinestonetiles;millenaire:tile.byzantine_mixedbrick;0;tile.byzantine_mixedbrick.name
byzantinetiles;millenaire:tile.byzantine_brick;0;tile.byzantine_brick.name
byzantinetileslab;millenaire:tile.byzantine_brick_slab;0;tile.byzantine_brick_slab.name
cacauhaa;millenaire:item.ml_cacauhaa;0;item.ml_cacauhaa.name
cactus;minecraft:cactus;0;Cactus
cake;minecraft:cake;0;Gâteau
calva;millenaire:item.ml_calva;0;item.ml_calva.name
carrot;minecraft:carrot;0;Carotte
chainboots;minecraft:chainmail_boots;0;Bottes de mailles
chainchest;minecraft:chainmail_chestplate;0;Cotte de mailles
chainhelmet;minecraft:chainmail_helmet;0;Casque de mailles
chainlegs;minecraft:chainmail_leggings;0;Jambières de mailles
chickencurry;millenaire:item.ml_chickencurry;0;item.ml_chickencurry.name
chickenmeat;minecraft:chicken;0;Poulet cru
chickenmeatcooked;minecraft:cooked_chicken;0;Poulet rôti
cider;millenaire:item.ml_cider;0;item.ml_cider.name
ciderapple;millenaire:item.ml_ciderapple;0;item.ml_ciderapple.name
clay;minecraft:clay_ball;0;Argile
clock;minecraft:clock;0;Montre
clothes_byz_silk;millenaire:item.ml_clothes;1;item.clothes_byz_silk.name
clothes_byz_wool;millenaire:item.ml_clothes;0;item.clothes_byz_wool.name
coal;minecraft:coal;0;Charbon
cobblestone;minecraft:cobblestone;0;Pierres
compass;minecraft:compass;0;Boussole
cookedbrick;millenaire:tile.ml_stone_deco;0;tile.ml_stone_deco.0.name
cookie;minecraft:cookie;0;Cookie
denier;millenaire:item.ml_denier;0;item.ml_denier.name
